,Topic_number,JIS_lastGen_run_1,JIS_lastGen_run_2,JIS_lastGen_run_3,JIS_lastGen_run_4,JIS_lastGen_run_5,mean
0,1,0.636651152299,0.772714874796,0.712446487924,0.589537586555,0.800505952855,0.7023712108858
1,134,0.805982870378,0.909842377658,0.891341416568,0.911779312814,0.911285186541,0.8860462327918001
2,187,0.81158779447,0.865647785844,0.850866556256,0.886548154514,0.848090434911,0.852548145199
3,215,0.738128980923,0.653971963864,0.693917920694,0.558846041357,0.73750185338,0.6764733520435999
4,221,0.58617547824,0.65142093009,0.716371501882,0.820277969924,0.801901296297,0.7152294352866001
5,25,0.967116392298,0.975927685337,0.978316759131,0.96644653214,0.924637105754,0.9624888949320001
6,259,0.310826138105,0.33041794102,0.225232973575,0.184104322288,0.152787178824,0.24067371076240002
7,289,0.617998774548,0.847392666103,0.864483915517,0.806111638312,0.840607517121,0.7953189023202
8,350,0.576929091403,0.765723708333,0.885331594088,0.832475812818,0.721318376444,0.7563557166172
9,363,0.841437316594,0.850443001933,0.805088291491,0.772683741352,0.853118529071,0.8245541760882
10,37,0.348546245535,0.127744457821,0.460649304102,0.53271368339,0.124190538446,0.3187688458588
11,403,0.881438455427,0.882964394521,0.84569191072,0.741801713572,0.844935085893,0.8393663120266
12,418,0.687577712978,0.688665218807,0.550384016678,0.626377823177,0.600921138746,0.6307851820772
13,428,0.882797881741,0.90021173097,0.919706019957,0.874731196013,0.91569244266,0.8986278542682001
14,465,0.90126733891,0.910242856971,0.905206075425,0.899395085579,0.915907386195,0.906403748616
15,476,0.281944131766,0.279935879155,0.239071238647,0.592617791527,0.379535735362,0.35462095529140003
16,528,0.834511199854,0.79256013602,0.783658166453,0.811892581113,0.828093922808,0.8101432012495999
17,529,0.733969209495,0.696814394133,0.628226279868,0.56328340498,0.747202635823,0.6738991848597999
18,537,0.836889274024,0.748976242917,0.856773016648,0.539240998486,0.828466980272,0.7620693024694001
19,538,0.720008770414,0.637696826345,0.728308568783,0.707743568986,0.670478777735,0.6928473024526001
20,556,0.163620773309,0.520027837644,0.154106509689,0.129552475889,0.234067302758,0.24027497985779997
21,561,0.89350312001,0.891797710887,0.8594808018,0.872807845251,0.879183139971,0.8793545235838
22,58,0.243165485969,0.211715608804,0.447276377741,0.242459102183,0.458268012393,0.32057691741800004
23,586,0.70662893118,0.290813084316,0.62046801467,0.79326623541,0.147513246098,0.5117379023348001
24,99,0.677224967194,0.695115975844,0.70508578162,0.381709638976,0.719104127737,0.6356480982742001
